City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Hearst,CA,61.81,broken clouds,49.68,-83.67,Companion
565,Japura,ID,74.62,broken clouds,-0.32,102.35,Rumah mbah Jamah
566,Nome,US,51.8,overcast clouds,64.5,-165.41,Dredge 7 Inn
569,Chaumont,FR,72.0,clear sky,48.12,5.13,Hôtel Restaurant Des Remparts
574,Tabuk,PH,74.98,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
577,Sept-Iles,CA,62.6,broken clouds,50.2,-66.38,Comfort Inn
578,Lichinga,MZ,60.8,smoke,-13.31,35.24,Residencial Bendiak
579,Fairbanks,US,57.2,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
581,Carazinho,BR,61.29,clear sky,-28.28,-52.79,San Remo Hotel
583,Fujin,CN,62.01,broken clouds,47.26,132.03,Xilong Hotel Fujin Shop
584,Ulaanbaatar,MN,55.4,clear sky,47.91,106.88,The Blue Sky Hotel and Tower
585,Karsava,LV,65.62,overcast clouds,56.78,27.69,Motelis Akas
586,Bowen,AU,55.99,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
587,The Pas,CA,69.8,clear sky,53.83,-101.25,Wescana Inn
588,Cap-Aux-Meules,CA,69.8,scattered clouds,47.38,-61.86,Auberge Madeli
591,Hwange,ZW,69.57,scattered clouds,-18.37,26.5,Hwange Colliery Guest House
592,Ekhabi,RU,46.67,clear sky,53.51,142.97,
597,Picton,AU,46.99,clear sky,-34.18,150.6,Picton Valley Motel
599,Chicama,PE,73.92,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
600,Maragheh,IR,68.0,thunderstorm,37.39,46.24,Maragheh Grand Hotel
607,Kristianstad,SE,69.01,light rain,56.03,14.15,First Hotel Christian IV
608,Otofuke,JP,66.38,overcast clouds,42.99,143.2,スポーツホテル・クロス・コート
609,Ocampo,MX,68.94,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
610,Jiuquan,CN,71.82,scattered clouds,39.74,98.52,Jiuquan Hotel
613,Catamarca,AR,73.99,scattered clouds,-28.47,-65.79,Amerian Catamarca Park Hotel
614,Shirokiy,RU,62.6,overcast clouds,49.76,129.52,
615,Zhezkazgan,KZ,64.4,light intensity shower rain,47.8,67.71,Kvartiry Posutochno.
616,Hualmay,PE,66.88,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
619,Dondo,MZ,68.0,clear sky,-19.61,34.74,Arco Iris
620,Abrau-Dyurso,RU,73.0,clear sky,44.69,37.59,Avgustin Inn
622,Soria,ES,73.99,broken clouds,41.67,-2.67,Casa Rural Sierra de Inodejo
623,Jijiga,ET,64.76,overcast clouds,9.35,42.8,RAMAAS HOTEL
624,Kirkcudbright,GB,62.01,light rain,54.84,-4.05,The Selkirk Arms
628,Solnechnyy,RU,57.33,overcast clouds,50.72,136.63,Hotel complex Pastoral
630,Pastavy,BY,65.5,overcast clouds,55.12,26.83,"Общежитие УО ""Поставский государственный колледж"""
631,Sambava,MG,71.71,light rain,-14.27,50.17,Melrose
632,Bloemhof,ZA,56.12,clear sky,-27.65,25.61,Victory Towers
633,Chimbote,PE,66.97,scattered clouds,-9.09,-78.58,Hotel Briliá
635,Jumla,NP,63.1,broken clouds,29.27,82.18,Hotel Sundar Rara Karnali
